dataset,instance,n,m,constructive,local_search,best_method_of,best_global_of,relative_dev,is_best,avg_time_per_iter,avg_of,std_of,iters,alpha_teua,beta
Geo,Geo 250 15.txt,250,75,CGR,BLS,140.9167111136943,142.42867425549605,0.010615581094924076,0,0.01614949799957685,138.78963092902393,0.9684482283957904,100,0.1,
Geo,Geo 250 15.txt,250,75,CGR,FLS,142.42867425549605,142.42867425549605,0.0,1,0.5012038150028093,141.1817184298247,0.6006925189667316,100,0.1,
Geo,Geo 250 15.txt,250,75,CGR2,BLS,140.9167111136943,142.42867425549605,0.010615581094924076,0,0.009382075996836648,138.89560236553737,0.8251073318415801,100,,0.9
Geo,Geo 250 15.txt,250,75,CGR2,FLS,142.42867425549605,142.42867425549605,0.0,1,0.5665150589979021,141.09785346531748,0.5820594718863791,100,,0.9
Geo,Geo 250 16.txt,250,75,CGR,BLS,105.53528723379509,108.04585787030845,0.023236158109151184,0,0.027893807999789716,103.77831358767362,0.9183108824335418,100,0.1,
Geo,Geo 250 16.txt,250,75,CGR,FLS,107.97868953381239,108.04585787030845,0.0006216650764779139,0,0.6038908680021996,106.02473944329114,0.7591024440341492,100,0.1,
Geo,Geo 250 16.txt,250,75,CGR2,BLS,106.5309196527989,108.04585787030845,0.0140212521550617,0,0.012048894997569733,103.81557600525527,0.9594136818809368,100,,0.9
Geo,Geo 250 16.txt,250,75,CGR2,FLS,108.04585787030845,108.04585787030845,0.0,1,0.4595138679997763,105.84155433047901,0.8891886179837024,100,,0.9
Geo,Geo 250 17.txt,250,75,CGR,BLS,122.52132134171066,123.77985344503806,0.010167503582367891,0,0.021285171995987184,120.8390502648239,0.7781053830370295,100,0.1,
Geo,Geo 250 17.txt,250,75,CGR,FLS,123.77985344503806,123.77985344503806,0.0,1,0.7434137839998585,122.81732363231004,0.5849526131461898,100,0.1,
Geo,Geo 250 17.txt,250,75,CGR2,BLS,122.50568720480952,123.77985344503806,0.010293809572123192,0,0.020848869997425936,120.79502048894918,0.91419404702123,100,,0.9
Geo,Geo 250 17.txt,250,75,CGR2,FLS,123.77985344503806,123.77985344503806,0.0,1,1.1178732479992322,122.66339000455089,0.6495053286463022,100,,0.9
Geo,Geo 250 18.txt,250,75,CGR,BLS,147.6081316178694,148.76186819516758,0.007755593495132432,0,0.06232172000105493,145.18908117871715,0.9378657970843752,100,0.1,
Geo,Geo 250 18.txt,250,75,CGR,FLS,148.76186819516758,148.76186819516758,0.0,1,0.6890972719999263,147.34044478164952,0.6083181926906124,100,0.1,
Geo,Geo 250 18.txt,250,75,CGR2,BLS,147.26788924188722,148.76186819516758,0.01004275471534373,0,0.011949352998635731,144.96279328896816,0.8472170501503435,100,,0.9
Geo,Geo 250 18.txt,250,75,CGR2,FLS,148.38600363386203,148.76186819516758,0.002526618990912602,0,0.5637846430006903,147.19967833044186,0.6604206058371859,100,,0.9
Geo,Geo 250 19.txt,250,75,CGR,BLS,132.60832517694763,134.28687171495886,0.012499706907866344,0,0.031174987002741544,131.50020867035232,0.5596060555868274,100,0.1,
Geo,Geo 250 19.txt,250,75,CGR,FLS,134.28687171495886,134.28687171495886,0.0,1,0.6547251200000755,132.8375579647888,0.5440332436696554,100,0.1,
